Autopista,Concesionario,Operador,Caseta,IAVE,Ubicación de caseta en Km,Coordenada latitud en grados,Coordenada longitud en grados,Tramo de cobro,Longitud en Km
Acatzingo - Cd. Mendoza,BANOBRAS FONADIN,CAPUFE,Esperanza,SI,  217+500,18.870777,-97.385869,  Acatzingo - Cd. Mendoza,  92.950
Acatzingo - Cd. Mendoza,BANOBRAS FONADIN,CAPUFE,Esperanza,SI,  217+501,18.870777,-97.385869,  Acatzingo - Esperanza,47.375
Acatzingo - Cd. Mendoza,BANOBRAS FONADIN,CAPUFE,Esperanza,SI,  217+502,18.870777,-97.385869,Esperanza - Cd. Mendoza,45.575
Amozoc - Perote y Libramiento de Perote,GRUPO AUTOPISTAS NACIONALES S. A. DE C. V.,GRUPO AUTOPISTAS NACIONALES S. A. DE C. V.,Amozoc II,NO,  1+000,19.063585,-98.069075,  Amozoc - Ent. Ixtenco,  25.700
Amozoc - Perote y Libramiento de Perote,GRUPO AUTOPISTAS NACIONALES S. A. DE C. V.,GRUPO AUTOPISTAS NACIONALES S. A. DE C. V.,Cantona,NO,  1+000,19.507568,-97.497774,  Ent. Oriental - Ent. Perote II,  55.500
Amozoc - Perote y Libramiento de Perote,GRUPO AUTOPISTAS NACIONALES S. A. DE C. V.,GRUPO AUTOPISTAS NACIONALES S. A. DE C. V.,Cantona A1,NO,  1+000,19.506554,-97.495453,  Ent. Oriental - Ent. Cantona,  18.800
Amozoc - Perote y Libramiento de Perote,GRUPO AUTOPISTAS NACIONALES S. A. DE C. V.,GRUPO AUTOPISTAS NACIONALES S. A. DE C. V.,Cantona A2,NO,  1+000,19.508966,-97.497172,  Ent. Cantona - Ent. Perote II,  36.700
Amozoc - Perote y Libramiento de Perote,GRUPO AUTOPISTAS NACIONALES S. A. DE C. V.,GRUPO AUTOPISTAS NACIONALES S. A. DE C. V.,Cuapiaxtla,NO,  1+000,19.310368,-97.797562,  Ent. Ixtenco - Ent. Oriental,  35.800
Amozoc - Perote y Libramiento de Perote,GRUPO AUTOPISTAS NACIONALES S. A. DE C. V.,GRUPO AUTOPISTAS NACIONALES S. A. DE C. V.,Cuapiaxtla A1,NO,  1+000,19.304147,-97.805436,  Ent. Ixtenco - Ent. Cuapiaxtla,  14.000
Amozoc - Perote y Libramiento de Perote,GRUPO AUTOPISTAS NACIONALES S. A. DE C. V.,GRUPO AUTOPISTAS NACIONALES S. A. DE C. V.,Cuapiaxtla A2,NO,  1+000,19.304378,-97.805668,  Ent. Cuapiaxtla - Ent. Oriental,  21.800
Amozoc - Perote y Libramiento de Perote,GRUPO AUTOPISTAS NACIONALES S. A. DE C. V.,GRUPO AUTOPISTAS NACIONALES S. A. DE C. V.,Perote,NO,  3+000,19.55172,-97.289536,  Libramiento de Perote,  18.000
Armería - Manzanillo,PROMOTORA DE AUTOPISTAS DEL PACÍFICO S. A. DE C. V.,OPERVITE S. A. DE C. V.,Cuyutlán,NO,  61+350,18.927786,-104.081504,  Armería - Manzanillo,  47.000
Arriaga - Ocozocoautla,CONCESIONARIA DE AUTOPISTAS DEL SURESTE,CONCESIONARIA DE AUTOPISTAS DEL SURESTE S. A. DE C. V.,Arriaga,NO,  1+000,16.245558,-93.880876,  Arriaga - Tierra y Libertad,20
Arriaga - Ocozocoautla,CONCESIONARIA DE AUTOPISTAS DEL SURESTE,CONCESIONARIA DE AUTOPISTAS DEL SURESTE S. A. DE C. V.,Jiquipilas,NO,  62+500,16.620564,-93.60209,  Jiquipilas - Montes Azules,  9.101
Arriaga - Ocozocoautla,CONCESIONARIA DE AUTOPISTAS DEL SURESTE,CONCESIONARIA DE AUTOPISTAS DEL SURESTE S. A. DE C. V.,Ocozocuautla,NO,  91+000,16.738493,-93.400414,  Montes Azules - Ocozocoautla,  22.301
Arriaga - Ocozocoautla,CONCESIONARIA DE AUTOPISTAS DEL SURESTE,CONCESIONARIA DE AUTOPISTAS DEL SURESTE S. A. DE C. V.,Tierra y Libertad,NO,  21+000,16.368058,-93.867043,  Tierra y Libertad - Jiquipilas,  41.598
Atlacomulco - Maravatío,BANOBRAS S.N.C.,CAPUFE,  Contepec,NO,  133+100,19.876127,-100.177072,  Venta de Bravo - Maravatío,  32.175
Atlacomulco - Maravatío,BANOBRAS S.N.C.,CAPUFE,  Contepec A1,NO,  133+100,19.877644,-100.176358,  Venta de Bravo - Maravatío,  32.175
Atlacomulco - Maravatío,BANOBRAS S.N.C.,CAPUFE,  Contepec A2,NO,  133+100,19.875531,-100.176711,  Maravatío - Venta de Bravo,  32.175
Atlacomulco - Maravatío,BANOBRAS S.N.C.,CAPUFE,  San Juanico,NO,  103+200,19.830719,-99.905209,  Atlacomulco - Venta de Bravo,  32.175
Cadereyta - Reynosa,BANOBRAS FONADIN,CAPUFE,  Dr. Coss,NO,  119+700,25.813509,-99.169588,  Cadereyta - General Bravo,  85.015
Cadereyta - Reynosa,BANOBRAS FONADIN,CAPUFE,  General Bravo,NO,  120+000,25.813509,-99.169588,  Cadereyta - Reynosa,  132.015
Cadereyta - Reynosa,BANOBRAS FONADIN,CAPUFE,  General Bravo,NO,  120+000,25.813509,-99.169588,  General Bravo - La Sierrita,  47.000
Cadereyta - Reynosa,BANOBRAS FONADIN,CAPUFE,  Los Herreras,NO,  98+900,25.757295,-99.373856,  Cadereyta - Los Herreras,  63.815
Cadereyta - Reynosa,BANOBRAS FONADIN,CAPUFE,  Los Herreras,NO,  98+900,25.759393,-99.37416,  Los Herreras - General Bravo,  21.200
Cadereyta - Reynosa,BANOBRAS FONADIN,CAPUFE,  Los Ramones,NO,  69+720,25.656016,-99.631035,  Cadereyta - Los Ramones,  35.275
Cadereyta - Reynosa,BANOBRAS FONADIN,CAPUFE,  Los Ramones,NO,  69+720,25.662886,-99.628599,  Los Ramones - General Bravo,  49.740
Camargo - Delicias,GOBIERNO DEL ESTADO DE CHIHUAHUA,GOBIERNO DEL ESTADO DE CHIHUAHUA,  Altavista,NO,  73+100,27.730842,-105.197882,  Camargo - Conchos,  35.000
Camargo - Delicias,GOBIERNO DEL ESTADO DE CHIHUAHUA,GOBIERNO DEL ESTADO DE CHIHUAHUA,  Saucillo,NO,  116+300,28.04638,-105.329342,  Conchos - Delicias,  30.000
Cardel - Veracruz,GOBIERNO DEL ESTADO DE VERACRUZ,GOBIERNO DEL ESTADO DE VERACRUZ,  La Antigua,NO,,19.320385,-96.310715,  Cardel - Veracruz,  29.880
Cardel - Veracruz,GOBIERNO DEL ESTADO DE VERACRUZ,GOBIERNO DEL ESTADO DE VERACRUZ,  San Julián,NO,  233+093,19.239276,-96.257899,  San Julián - Veracruz,  7.910
Cd. Cuauhtémoc - Osiris,CAPUFE,CAPUFE,  Zacatecas,NO,  31+000,22.710779,-102.448879,  Cd. Cuauhtemoc - Osiris,  42.310
Cd. Mendoza - Córdoba,BANOBRAS FONADIN,CAPUFE,  Fortín,SI,  286+250,18.907151,-96.999524,  Cd. Mendoza - Córdoba,  30.675
Cd. Mendoza - Córdoba,BANOBRAS FONADIN,CAPUFE,  Fortín Aux.,SI,,18.906565,-97.001589,  Cd. Mendoza - Fortín,  23.175
Chamapa - Lechería,BANOBRAS FONADIN,CAPUFE,  San Mateo A1,SI,  286+250,19.487334,-99.309881,  Cd. Mendoza - Fortín,  23.176
Chamapa - Lechería,BANOBRAS FONADIN,CAPUFE,  San Mateo A2,SI,  286+251,19.486228,-99.311503,  Cd. Mendoza - Fortín,  23.177
Chamapa - Lechería,BANOBRAS FONADIN,CAPUFE,  San Mateo A3,SI,  286+252,19.487093,-99.310115,  Cd. Mendoza - Fortín,  23.178
Chamapa - Lechería,BANOBRAS FONADIN,CAPUFE,  San Mateo A4,SI,  286+253,19.48819,-99.311068,  Cd. Mendoza - Fortín,  23.179
Chamapa - Lechería,BANOBRAS FONADIN,CAPUFE,  Lomas Verdes,SI,  286+254,19.519198,-99.286355,  Cd. Mendoza - Fortín,  23.180
Chamapa - Lechería,BANOBRAS FONADIN,CAPUFE,  Madín A1,SI,  286+255,19.544632,-99.277049,  Cd. Mendoza - Fortín,  23.181
Chamapa - Lechería,BANOBRAS FONADIN,CAPUFE,  Madín A2,SI,  286+256,19.545601,-99.277405,  Cd. Mendoza - Fortín,  23.182
Chamapa - Lechería,BANOBRAS FONADIN,CAPUFE,  Madín A3,SI,  286+257,19.548062,-99.276966,  Cd. Mendoza - Fortín,  23.183
Chamapa - Lechería,BANOBRAS FONADIN,CAPUFE,  Madín A4,SI,  286+258,19.548788,-99.277298,  Cd. Mendoza - Fortín,  23.184
Chamapa - Lechería,BANOBRAS FONADIN,CAPUFE,  Atizapán,SI,  286+259,19.582535,-99.271137,  Cd. Mendoza - Fortín,  23.185
Chamapa - Lechería,BANOBRAS FONADIN,CAPUFE,  Lago de Guadalupe A1,SI,  286+260,19.608832,-99.237113,  Cd. Mendoza - Fortín,  23.186
Chamapa - Lechería,BANOBRAS FONADIN,CAPUFE,  Lago de Guadalupe A2,SI,  286+261,19.60996,-99.236474,  Cd. Mendoza - Fortín,  23.187
Champotón - Campeche,BANOBRAS FONADIN,CAPUFE,  Seybaplaya,SI,  32+000,19.636259,-90.671564,  Champotón - Campeche,  39.500
Champotón - Campeche,BANOBRAS FONADIN,CAPUFE,  Seybaplaya,SI,  32+000,19.636259,-90.671564,  Seybaplaya - Campeche,  24.500
Champotón - Campeche,BANOBRAS FONADIN,CAPUFE,  Seybaplaya,SI,  32+000,19.636259,-90.671564,  Villa Madero - Seybaplaya,  15.000
Chapalilla - Compostela,CAPUFE,CAPUFE,  Compostela,SI,  31+600,21.229472,-104.887417,  Chapalilla - Compostela,  35.500
Córdoba - Veracruz,BANOBRAS FONADIN,CAPUFE,  Cuitláhuac,SI,  14+140,18.839454,-96.746941,  Córdoba - La Tinaja,  45.000
Córdoba - Veracruz,BANOBRAS FONADIN,CAPUFE,  Cuitláhuac A1,SI,  14+140,18.839314,-96.746978,  Córdoba - Cuitláhuac,  14.140
Córdoba - Veracruz,BANOBRAS FONADIN,CAPUFE,  Cuitláhuac A1-2,SI,  14+140,18.839604,-96.746905,  Cuitláhuac - Córdoba,  14.140
Córdoba - Veracruz,BANOBRAS FONADIN,CAPUFE,  Cuitláhuac A2-1,NO,  14+600,18.837511,-96.737458,  Cuitláhuac - La Tinaja,  30.860
Córdoba - Veracruz,BANOBRAS FONADIN,CAPUFE,  Cuitláhuac A2-2,NO,  14+600,18.83865,-96.739512,  La Tinaja - Cuitláhuac,  30.860
Córdoba - Veracruz,BANOBRAS FONADIN,CAPUFE,  Paso del Toro,SI,  89+900,19.081747,-96.198438,  La Tinaja - Paso del Toro,  44.900
Córdoba - Veracruz,BANOBRAS FONADIN,CAPUFE,  Paso del Toro,SI,  89+900,19.081747,-96.198438,  La Tinaja - Veracruz,  53.000
Córdoba - Veracruz,BANOBRAS FONADIN,CAPUFE,  Paso del Toro,SI,  89+900,19.081747,-96.198438,  Paso del Toro - Veracruz,  8.100
Cuacnopalan - Oaxaca,BANOBRAS FONADIN,CAPUFE,  Huitzo,SI,  217+010,17.275026,-96.915277,  Nochixtlán-Oaxaca,  64.500
Cuacnopalan - Oaxaca,BANOBRAS FONADIN,CAPUFE,  Huitzo,SI,  217+010,17.275026,-96.915277,  Nochixtlán - Huitzo,  38.510
Cuacnopalan - Oaxaca,BANOBRAS FONADIN,CAPUFE,  Huitzo A1,NO,  217+010,17.278761,-96.914652,  Huitzo - Oaxaca,  25.990
Cuacnopalan - Oaxaca,BANOBRAS FONADIN,CAPUFE,  Miahuatlán,SI,  71+415,18.264673,-97.315627,  Tehuacán - Miahuatlán,  30.367
Cuacnopalan - Oaxaca,BANOBRAS FONADIN,CAPUFE,  Coixtlahuaca A1,NO,  141+300,17.726023,-97.353773,  Miahuatlán - Nochixtlán,  107.085
Cuacnopalan - Oaxaca,BANOBRAS FONADIN,CAPUFE,  Coixtlahuaca,SI,  141+300,17.725859,-97.352916,  Miahuatlán - Coixtlahuaca,  69.885
Cuacnopalan - Oaxaca,BANOBRAS FONADIN,CAPUFE,  Tehuacán,SI,  41+048,18.487127,-97.456212,  Cuacnopalan - Tehuacán,  41.048
Cuernavaca - Acapulco,BANOBRAS FONADIN,CAPUFE,  Aeropuerto A1,NO,  104+800,18.802293,-99.221241,  Cuernavaca - Aeropuerto,  9.800
Cuernavaca - Acapulco,BANOBRAS FONADIN,CAPUFE,  Aeropuerto A2,NO,  104+800,18.802741,-99.219852,  Cuernavaca - Aeropuerto,  9.800
Cuernavaca - Acapulco,BANOBRAS FONADIN,CAPUFE,  Alpuyeca,SI,  114+800,18.69853,-99.278053,  Cuernavaca - Puente de Ixtla,  28.939
Cuernavaca - Acapulco,BANOBRAS FONADIN,CAPUFE,  Alpuyeca A1,NO,  115+000,18.723779,-99.260215,  Cuernavaca - Alpuyeca,  8.939
Cuernavaca - Acapulco,BANOBRAS FONADIN,CAPUFE,  Alpuyeca A2,NO,  115+000,18.722419,-99.259948,  Alpuyeca - Cuernavaca,  20.000
Cuernavaca - Acapulco,BANOBRAS FONADIN,CAPUFE,  D.I.E.Z.,NO,  102+000,18.8375,-99.21537,  Cuernavaca - Central de Abastos,  7.000
Cuernavaca - Acapulco,BANOBRAS FONADIN,CAPUFE,  La Venta,SI,  364+900,16.928256,-99.801892,  Tierra Colorada - Acapulco,  55.907
Cuernavaca - Acapulco,BANOBRAS FONADIN,CAPUFE,  Palo Blanco,SI,  288+850,17.423967,-99.466861,  Chilpancingo - Tierra Colorada,  34.713
Cuernavaca - Acapulco,BANOBRAS FONADIN,CAPUFE,  Paso Morelos,SI,  178+200,18.231465,-99.215466,  Paso Morelos - Chilpancingo,  88.960
Cuernavaca - Acapulco,BANOBRAS FONADIN,CAPUFE,  Paso Morelos,SI,  178+200,18.231465,-99.215466,  Puente de Ixtla - Chilpancingo,  143.021
Cuernavaca - Acapulco,BANOBRAS FONADIN,CAPUFE,  Paso Morelos,SI,  178+200,18.231465,-99.215466,  Puente de Ixtla - Paso Morelos,  54.061
Cuernavaca - Acapulco,BANOBRAS FONADIN,CAPUFE,  Xochitepec,NO,  107+900,18.774978,-99.225314,  Cuernavaca - Xochitepec,  13.072
Cuernavaca - Acapulco,BANOBRAS FONADIN,CAPUFE,  Xochitepec,NO,  107+900,18.774978,-99.225314,  Xochitepec - Alpuyeca,  6.928
Durango - Mazatlán,BANOBRAS FONADIN,CAPUFE,  Garavitos,NO,  22+100,24.004477,-104.736419,  Libramiento de Durango - Entronque Otinapa,  44.900
Durango - Mazatlán,BANOBRAS FONADIN,CAPUFE,  Llano Grande,NO,  44+900,23.868815,-105.203958,  Entronque Otinapa - Piloncillo,  59.100
Durango - Mazatlán,BANOBRAS FONADIN,CAPUFE,  Mesillas,NO,  78+400,23.259302,-106.049587,  Santa Lucía - Villa Unión,  58.300
Durango - Yerbanís,AUTOPISTAS DE CUOTA S. A. DE C. V.,AUTOPISTAS DE CUOTA S. A. DE C. V.,  Durango,SI,  15+900,24.131735,-104.534058,  Durango - Guadalupe Victoria,  49.000
Durango - Yerbanís,AUTOPISTAS DE CUOTA S. A. DE C. V.,AUTOPISTAS DE CUOTA S. A. DE C. V.,  Yerbanís,SI,  112+724,24.730769,-103.861923,  Guadalupe Victoria - Yerbanís,  56.200
Ecatepec - Pirámides,CONCESIONARIA ECATEPEC-PIRÁMIDES S. A. DE C. V.,OPERVITE S. A. DE C. V.,  Ecatepec,NO,  1+187,19.611707,-99.025732,  Ecatepec - Pirámides,  22.210
Ecatepec - Pirámides,CONCESIONARIA ECATEPEC-PIRÁMIDES S. A. DE C. V.,OPERVITE S. A. DE C. V.,  Tepexpan,NO,  9+725,,,  Tepexpan - San Martín de las Pirámides,  12.480
El Centinela - La Rumorosa,GOBIERNO DEL ESTADO DE BAJA CALIFORNIA,GOBIERNO DEL ESTADO DE BAJA CALIFORNIA,  La Rumorosa,NO,  47+000,32.562633,-116.047931,  El Centinela - La Rumorosa,  47.297
El Centinela - La Rumorosa,GOBIERNO DEL ESTADO DE BAJA CALIFORNIA,GOBIERNO DEL ESTADO DE BAJA CALIFORNIA,  La Rumorosa 2,NO,  47+000,32.555877,-116.036431,  La Rumorosa - El Centinela,47.297
El Sueco - Villa Ahumada,GOBIERNO DEL ESTADO DE CHIHUAHUA,GOBIERNO DEL ESTADO DE CHIHUAHUA,  Villa Ahumada,NO,  219+000,30.437079,-106.52185,  El Sueco - Villa Ahumada,  86.700
Ensenada - Tijuana,BANOBRAS FONADIN,CAPUFE,  Ensenada,NO,  88+599,31.903121,-116.732727,  Ensenada - La Misión,  33.766
Ensenada - Tijuana,BANOBRAS FONADIN,CAPUFE,  Playas de Tijuana,NO,  9+700,32.514036,-117.109538,  Rosarito - Tijuana,  25.927
Ensenada - Tijuana,BANOBRAS FONADIN,CAPUFE,  Rosarito,NO,  35+427,32.32425,-117.049016,  La Misión - Rosarito,  29.847
Ent. Agua Dulce - Cárdenas,BANOBRAS FONADIN,CAPUFE,  Sánchez Magallanes,SI,  28+500,18.030565,-93.812954,  Ent. Agua Dulce - Cárdenas,  53.300
Ent. Agua Dulce - Cárdenas,BANOBRAS FONADIN,CAPUFE,  Sánchez Magallanes,NO,  28+500,18.029932,-93.813072,  Ent. Agua Dulce - Ent. Magallanes,  22.800
Ent. Agua Dulce - Cárdenas,BANOBRAS FONADIN,CAPUFE,  Sánchez Magallanes,NO,  28+500,18.031623,-93.813693,  Ent. Magallanes - Cárdenas,  30.500
Ent. Tulancingo - Venta Grande,FIDEICOMISO AUTOPISTAS Y PUENTES DEL GOLFO CENTRO,CAPUFE,  Asunción,NO,  22+700,20.147427,-98.285747,  Ent. Tulancingo - Venta Grande,  41.200
Ent. Tulancingo - Venta Grande,FIDEICOMISO AUTOPISTAS Y PUENTES DEL GOLFO CENTRO,CAPUFE,  Asunción A1,NO,  22+700,20.146458,-98.286939,  Ent. Asunción - Tejocotal,  22.700
Ent. Tulancingo - Venta Grande,FIDEICOMISO AUTOPISTAS Y PUENTES DEL GOLFO CENTRO,CAPUFE,  Asunción A2,NO,  22+700,20.150099,-98.286642,  Libramiento de Tulancingo,  18.500
Estación Don - Nogales,BANOBRAS FONADIN,CAPUFE,  Esperanza,NO,  10+700,27.603722,-109.93909,  Cd. Obregón - Guaymas,  107.700
Estación Don - Nogales,BANOBRAS FONADIN,CAPUFE,  Fundición,NO,  197+500,27.320373,-109.719802,  Navojoa - Cd. Obregón,  63.800
Estación Don - Nogales,BANOBRAS FONADIN,CAPUFE,  Guaymas,NO,  3+200,28.036494,-110.924164,  Libramiento de Guaymas,  21.500
Estación Don - Nogales,BANOBRAS FONADIN,CAPUFE,  Hermosillo,NO,  15+200,29.220733,-110.930184,  Hermosillo - Magdalena de Kino,  169.900
Estación Don - Nogales,BANOBRAS FONADIN,CAPUFE,  La Jaula,NO,  129+900,26.849818,-109.373311,  Estación Don - Navojoa,  85.200
Estación Don - Nogales,BANOBRAS FONADIN,CAPUFE,  Magdalena,NO,  184+400,30.629274,-110.948775,  Libramiento de Magdalena de Kino,  11.900
Gómez Palacio - Corralitos,BANOBRAS FONADIN,CAPUFE,  Bermejillo,SI,  44+210,25.923655,-103.622077,  Gómez Palacio - Estación Banderas,  39.000
Gómez Palacio - Corralitos,BANOBRAS FONADIN,CAPUFE,  Ceballos,SI,  130+560,26.586694,-104.057726,  Estación Banderas - Corralitos,  112.300
Guadalajara - Colima,BANOBRAS S.N.C.,CAPUFE,  Acatlán,NO,  1+650,20.415926,-103.55704,  Acatlán - Ciudad Guzmán,  73.000
Guadalajara - Colima,BANOBRAS S.N.C.,CAPUFE,  San Marcos,NO,  122+500,19.433636,-103.49487,  Cd. Guzmán - El Trapiche,  73.000
Guadalajara - Tepic,CONCESIONARIA AUTOPISTA GUADALAJARA - TEPIC S.A. DE C.V.,CONCESIONARIA AUTOPISTA GUADALAJARA - TEPIC S.A. DE C.V.,  Arenal,SI,  10+960,20.778748,-103.662386,  Ent. Ameca - Magdalena,  46.000
Guadalajara - Tepic,CONCESIONARIA AUTOPISTA GUADALAJARA - TEPIC S.A. DE C.V.,CONCESIONARIA AUTOPISTA GUADALAJARA - TEPIC S.A. DE C.V.,  Plan de Barrancas,SI,  69+337,21.005379,-104.144084,  Magdalena - Ixtlán del Río,  51.454
Guadalajara - Tepic,CONCESIONARIA AUTOPISTA GUADALAJARA - TEPIC S.A. DE C.V.,CONCESIONARIA AUTOPISTA GUADALAJARA - TEPIC S.A. DE C.V.,  Santa María del Oro,SI,  145+146,21.328268,-104.664406,  Ixtlán del Río - Tepic,  77.600
Guadalajara - Tepic,CONCESIONARIA AUTOPISTA GUADALAJARA - TEPIC S.A. DE C.V.,CONCESIONARIA AUTOPISTA GUADALAJARA - TEPIC S.A. DE C.V.,  Santa María A1,NO,  145+146,21.327973,-104.663151,  Ixtlán del Río - Santa María del Oro,  47.692
Guadalajara - Tepic,CONCESIONARIA AUTOPISTA GUADALAJARA - TEPIC S.A. DE C.V.,CONCESIONARIA AUTOPISTA GUADALAJARA - TEPIC S.A. DE C.V.,  Santa María A2,NO,  145+146,21.327052,-104.664677,  Santa María del Oro - Tepic,  21.690
Guadalajara - Tepic,CONCESIONARIA AUTOPISTA GUADALAJARA - TEPIC S.A. DE C.V.,CONCESIONARIA AUTOPISTA GUADALAJARA - TEPIC S.A. DE C.V.,  Tequepexpan A1,NO,  131+910,21.213906,-104.592673,  Ixtlán del Río - Tequepexpan,  32.910
Guadalajara - Tepic,CONCESIONARIA AUTOPISTA GUADALAJARA - TEPIC S.A. DE C.V.,CONCESIONARIA AUTOPISTA GUADALAJARA - TEPIC S.A. DE C.V.,  Tequepexpan A2,NO,  131+910,21.213664,-104.594174,  Tequepexpan - Ixtlán del Río,  32.911
Guadalajara - Tepic,CONCESIONARIA AUTOPISTA GUADALAJARA - TEPIC S.A. DE C.V.,CONCESIONARIA AUTOPISTA GUADALAJARA - TEPIC S.A. DE C.V.,  Tequila,NO,  32+700,20.854129,-103.861211,  Tequila - Magdalena,  12.260
Guadalajara - Zapotlanejo,RED DE AUTOPISTAS DE OCCIDENTE S. A. P. I. B. DE C. V.,RED DE AUTOPISTAS DE OCCIDENTE S. A. P. I. B. DE C. V.,  La Joya,SI,  19+000,20.604788,-103.138943,  Guadalajara - Zapotlanejo,  26.000
Gutiérrez Zamora - Tihuatlán,BANOBRAS FONADIN,CAPUFE,  Cazones1,NO,  181+500,20.469874,-97.254669,  Totomoxtle - Ent. Poza Rica,  26.104
Gutiérrez Zamora - Tihuatlán,BANOBRAS FONADIN,CAPUFE,  Cazones2,NO,  ,,,  Ent. Poza Rica - Tihuatlán II,  9.372
Gutiérrez Zamora - Tihuatlán,BANOBRAS FONADIN,CAPUFE,  Totomoxtle 1,NO,  0+200,20.461964,-97.245995,  Gutiérrez Zamora - Tihuatlán,  37.289
Gutiérrez Zamora - Tihuatlán,BANOBRAS FONADIN,CAPUFE,  Totomoxtle 2,NO,  0+200,20.460995,-97.247746,  Tihuatlán - Gutiérrez Zamora,  37.289
Jiménez - Camargo,GOBIERNO DEL ESTADO DE CHIHUAHUA,GOBIERNO DEL ESTADO DE CHIHUAHUA,  Jiménez,NO,  11+000,27.244991,-104.933224,  Jiménez - Camargo,  70.000
La Pera - Cuautla,BANOBRAS FONADIN,CAPUFE,  Oacalco,SI,  21+200,18.931121,-99.02562,  Tepoztlán - Cuautla,  17.082
La Pera - Cuautla,BANOBRAS FONADIN,CAPUFE,  Tepoztlán,SI,  7+960,18.98681,-99.112444,  La Pera - Tepoztlán,  17.083
La Tinaja - Cosoleacaque,BANOBRAS FONADIN,CAPUFE,  Acayucan,SI,  188+000,17.910035,-94.937359,  Isla - Acayucan,  69.850
La Tinaja - Cosoleacaque,BANOBRAS FONADIN,CAPUFE,  Acayucan,SI,  188+000,17.910035,-94.937359,  Isla - Cosoleacaque,  109.500
La Tinaja - Cosoleacaque,BANOBRAS FONADIN,CAPUFE,  Acayucan,SI,  188+000,17.910035,-94.937359,  Acayucan - Cosoleacaque,  40.000
La Tinaja - Cosoleacaque,BANOBRAS FONADIN,CAPUFE,  Cosamaloapan,SI,  83+360,18.334975,-95.822252,  La Tinaja - Cosamaloapan,  83.360
La Tinaja - Cosoleacaque,BANOBRAS FONADIN,CAPUFE,  Cosamaloapan,SI,  83+360,18.334975,-95.822252,  La Tinaja - Isla,  118.150
La Tinaja - Cosoleacaque,BANOBRAS FONADIN,CAPUFE,  Cosamaloapan,SI,  83+360,18.334975,-95.822252,  Cosamaloapan - Isla,  34.790
Las Choapas - Ocozocuautla,BANOBRAS FONADIN,CAPUFE,  Las Choapas,NO,  17+000,17.944819,-94.172372,  Ent. Las Choapas - Ent. Nuevo Sacrificio,  63.200
Las Choapas - Ocozocuautla,BANOBRAS FONADIN,CAPUFE,  Las Choapas A1,NO,  17+000,17.942707,-94.17224,  Ent. Las Choapas - Ent. Las Choapas II,  17.000
Las Choapas - Ocozocuautla,BANOBRAS FONADIN,CAPUFE,  Las Choapas A1,NO,  17+000,17.942707,-94.17224,  Ent. Las Choapas II - Ent. Nuevo Sacrificio,  46.200
Las Choapas - Ocozocuautla,BANOBRAS FONADIN,CAPUFE,  Malpasito,SI,  118+930,17.349101,-93.586441,  Ent. Nuevo Sacrificio - Ent. Raudales,  70.800
Las Choapas - Ocozocuautla,BANOBRAS FONADIN,CAPUFE,  Malpasito A1,NO,  118+930,17.348467,-93.586933,  Ent. Nuevo Sacrificio - Ent. Malpasito,  49.600
Las Choapas - Ocozocuautla,BANOBRAS FONADIN,CAPUFE,  Malpasito A2,NO,  118+930,17.349152,-93.585518,  Ent. Malpasito - Ent. Raudales,  21.200
Las Choapas - Ocozocuautla,BANOBRAS FONADIN,CAPUFE,  Ocuilapa,SI,  183+500,16.863172,-93.40687,  Ent. Raudales - Ocozocuautla,  64.000
León - Aguascalientes,RED DE AUTOPISTAS DE OCCIDENTE S. A. P. I. B. DE C. V.,RED DE CARRETERAS DE OCCIDENTE S. A. P. I. B. DE C. V.,  Cuerámaro A1,NO,  12+000,21.06969,-101.679198,  Ent. León - Ent. Central de Abastos,  12.000
León - Aguascalientes,RED DE AUTOPISTAS DE OCCIDENTE S. A. P. I. B. DE C. V.,RED DE CARRETERAS DE OCCIDENTE S. A. P. I. B. DE C. V.,  Cuerámaro A2,NO,  12+000,21.069085,-101.67977,  Ent. Central de Abastos - Ent. León,  12.000
León - Aguascalientes,RED DE AUTOPISTAS DE OCCIDENTE S. A. P. I. B. DE C. V.,RED DE CARRETERAS DE OCCIDENTE S. A. P. I. B. DE C. V.,  Encarnación,SI,  88+740,21.489618,-102.243204,  Ent. Lagos de Moreno - Aguascalientes,  43.800
León - Aguascalientes,RED DE AUTOPISTAS DE OCCIDENTE S. A. P. I. B. DE C. V.,RED DE CARRETERAS DE OCCIDENTE S. A. P. I. B. DE C. V.,  Encarnación,SI,  88+740,21.489618,-102.243204,  Encarnación de Díaz - Aguascalientes,  15.110
León - Aguascalientes,RED DE AUTOPISTAS DE OCCIDENTE S. A. P. I. B. DE C. V.,RED DE CARRETERAS DE OCCIDENTE S. A. P. I. B. DE C. V.,  León,SI,  23+500,21.102736,-101.784601,  Ent. León - Lagos de Moreno,  60.050
León - Aguascalientes,RED DE AUTOPISTAS DE OCCIDENTE S. A. P. I. B. DE C. V.,RED DE CARRETERAS DE OCCIDENTE S. A. P. I. B. DE C. V.,  San Francisco A1,NO,  19+000,21.082341,-101.745577,  Ent. León - San Francisco del Rincón,  19.000
